method_enc,team_size,budget_ratio,progress,velocity,open_tickets,absences,overscoped,team_issues,tech_debt,scope_creep,key_person_risk,unclear_requirements,meetings_per_week,doc_score,duration_planned,sprints_count,ai_score,delay_days,overrun_pct,success,risk_category,methodology,sector,budget
2,23,0.422,10,46,0,1,0,1,0,0,0,0,3,10.0,382,27,6.0,0,0.0,1,1,Scrum,IT,288000.0
0,11,0.375,92,80,16,3,0,0,1,0,1,0,2,8.8,335,23,7.3,0,0.0,1,1,Agile,IT,294000.0
2,15,0.752,97,103,4,2,0,1,1,0,0,1,3,1.5,185,13,7.1,0,0.0,1,1,Scrum,Santé,102000.0
2,2,0.671,65,88,22,1,0,1,0,1,0,0,2,6.3,375,26,5.2,42,0.0,0,2,Scrum,Education,204000.0
2,8,0.358,68,84,4,4,0,1,0,1,0,0,2,6.8,265,18,6.1,0,0.0,1,1,Scrum,Santé,543000.0
1,24,0.32,41,64,4,1,0,0,0,0,1,0,2,6.8,179,12,7.0,0,0.0,1,1,Kanban,Santé,295000.0
1,4,0.754,31,62,11,0,1,1,0,0,0,0,3,6.1,151,10,4.7,33,0.0,0,2,Kanban,Santé,239000.0
2,7,0.818,57,80,5,1,1,0,0,1,1,0,1,6.1,54,3,4.4,44,0.0,0,3,Scrum,Santé,415000.0
3,8,0.528,28,27,12,4,0,1,0,0,0,0,3,10.0,298,21,4.5,43,0.0,0,2,Waterfall,Logistique,245000.0
2,19,0.548,77,104,0,0,0,0,0,0,0,1,2,5.0,249,17,9.2,0,0.0,1,0,Scrum,Santé,489000.0
2,24,0.551,92,107,1,1,0,1,0,0,0,0,3,5.7,114,8,9.2,0,0.0,1,0,Scrum,Industrie,570000.0
2,20,0.334,30,59,10,0,0,1,0,0,0,0,4,5.9,199,14,6.6,0,0.0,1,1,Scrum,Logistique,499000.0
2,19,0.491,67,71,26,1,0,0,1,0,0,1,3,0.0,360,25,6.1,0,0.0,1,1,Scrum,Finance,258000.0
0,20,0.446,99,90,15,3,0,0,0,1,0,1,1,0.8,54,3,6.3,0,0.0,1,1,Agile,Finance,488000.0
2,10,0.631,93,79,0,4,0,0,0,0,1,1,4,5.1,33,2,8.5,0,0.0,1,0,Scrum,Industrie,369000.0
2,10,0.838,44,71,0,3,1,1,0,0,0,0,2,7.3,296,21,4.5,44,0.0,0,2,Scrum,Telecom,96000.0
3,21,0.549,50,84,9,1,0,0,1,1,0,0,2,6.0,238,17,6.6,0,0.0,1,1,Waterfall,Finance,245000.0
3,8,0.905,28,49,7,1,1,0,0,0,0,0,3,7.3,334,23,4.8,39,0.0,0,2,Waterfall,Industrie,30000.0
1,20,0.676,16,24,20,2,0,0,1,0,0,0,3,8.6,313,22,4.7,38,0.0,0,2,Kanban,Finance,194000.0
2,8,0.577,58,76,0,0,1,0,0,0,0,0,3,5.6,248,17,7.7,0,0.0,1,0,Scrum,Logistique,435000.0
1,15,0.419,51,63,13,0,0,0,0,0,0,0,2,4.5,108,7,7.4,0,0.0,1,1,Kanban,Telecom,206000.0
1,8,0.532,32,41,18,0,0,0,1,0,0,0,3,4.8,221,15,4.9,41,0.0,0,2,Kanban,Telecom,530000.0
1,7,0.508,11,47,13,3,1,1,0,0,0,0,3,8.3,354,25,3.2,53,0.0,0,3,Kanban,Finance,197000.0
2,5,0.573,59,80,13,0,0,0,0,0,1,0,1,10.0,111,7,7.8,0,0.0,1,0,Scrum,IT,315000.0
3,11,0.677,56,46,4,2,0,0,0,0,0,0,0,4.4,175,12,6.9,0,0.0,1,1,Waterfall,E-commerce,528000.0
3,21,0.702,12,30,15,4,1,1,0,0,0,0,2,6.7,357,25,1.6,58,0.0,0,3,Waterfall,Logistique,499000.0
2,23,0.8,40,56,12,3,1,0,0,0,0,1,4,3.1,86,6,3.9,46,0.0,0,3,Scrum,Telecom,435000.0
2,3,0.528,45,56,12,1,0,1,0,0,0,0,1,4.7,235,16,5.1,35,0.0,0,2,Scrum,Education,236000.0
2,6,0.52,47,75,25,3,0,0,0,0,0,0,3,7.4,84,6,7.2,0,0.0,1,1,Scrum,Logistique,98000.0
3,15,0.335,30,53,2,4,0,1,0,0,0,1,3,6.0,35,2,5.3,33,0.0,0,2,Waterfall,E-commerce,408000.0
2,19,0.585,63,101,0,0,1,0,0,1,0,0,4,7.0,156,11,7.6,0,0.0,1,0,Scrum,Telecom,291000.0
2,5,0.563,100,111,7,0,0,0,0,0,1,0,2,7.0,146,10,10.0,0,0.0,1,0,Scrum,IT,557000.0
1,12,0.639,21,57,16,0,1,0,0,0,0,0,2,8.2,234,16,5.6,0,0.0,0,2,Kanban,Education,47000.0
2,18,0.417,52,48,3,8,0,1,0,0,1,1,3,6.8,384,27,3.4,48,0.0,0,3,Scrum,Santé,511000.0
1,14,0.554,39,57,0,0,0,0,0,0,0,0,0,6.4,97,6,8.2,0,0.0,1,0,Kanban,IT,238000.0
3,3,0.653,12,28,49,1,0,0,0,0,0,0,2,9.0,216,15,4.1,38,0.0,0,3,Waterfall,Industrie,105000.0
1,22,0.578,51,86,10,3,1,0,0,0,1,1,3,3.2,333,23,4.9,33,0.0,0,2,Kanban,Industrie,67000.0
3,13,0.692,30,33,16,1,1,0,1,0,0,0,3,7.3,63,4,3.3,51,0.0,0,3,Waterfall,Telecom,69000.0
3,13,0.618,23,37,21,1,0,0,0,0,0,0,1,4.3,37,2,5.2,39,0.0,0,2,Waterfall,Education,302000.0
0,13,0.371,40,80,0,4,0,1,0,0,0,1,2,4.4,174,12,5.9,0,0.0,0,2,Agile,Telecom,514000.0
2,12,0.67,76,68,24,0,1,0,1,1,0,0,1,5.0,86,6,4.1,43,0.0,0,3,Scrum,Finance,478000.0
3,3,0.323,15,17,17,0,0,0,0,0,0,0,1,7.3,193,13,5.0,33,0.0,0,2,Waterfall,Santé,582000.0
1,13,0.564,58,49,16,2,0,0,0,1,0,0,3,6.6,137,9,6.5,0,0.0,1,1,Kanban,Finance,545000.0
2,16,0.34,76,92,4,2,0,0,0,0,1,0,2,7.2,156,11,9.2,0,0.0,1,0,Scrum,Finance,133000.0
2,17,0.77,54,74,14,0,0,0,1,1,0,0,4,7.3,284,20,5.8,0,0.0,0,2,Scrum,Santé,215000.0
0,22,0.503,60,96,0,1,0,0,0,1,0,0,3,4.6,85,6,8.7,0,0.0,1,0,Agile,Industrie,209000.0
1,24,0.374,77,73,0,3,0,1,0,0,0,0,3,8.9,289,20,8.4,0,0.0,1,0,Kanban,IT,175000.0
2,9,0.5,42,48,15,0,0,0,0,0,0,0,2,2.3,268,19,6.8,0,0.0,1,1,Scrum,IT,402000.0
1,5,0.559,34,61,4,0,0,0,1,0,0,0,3,5.7,215,15,6.6,0,0.0,1,1,Kanban,Logistique,528000.0
2,3,0.708,62,75,2,0,0,0,1,0,0,0,0,5.9,84,6,7.7,0,0.0,1,0,Scrum,Industrie,495000.0
1,12,0.71,28,42,20,1,1,0,0,0,0,0,4,7.3,335,23,3.5,51,0.0,0,3,Kanban,Telecom,31000.0
2,6,0.564,62,83,0,0,0,0,0,0,0,0,1,10.0,47,3,9.5,0,0.0,1,0,Scrum,Industrie,99000.0
2,14,0.689,56,72,0,0,1,0,0,0,0,0,4,7.0,230,16,8.3,0,0.0,1,0,Scrum,E-commerce,218000.0
1,5,0.262,36,52,13,1,0,1,0,0,1,0,3,9.3,43,3,4.9,40,0.0,0,2,Kanban,IT,333000.0
2,8,0.444,52,64,14,1,0,1,0,0,0,0,2,6.5,175,12,7.2,0,0.0,1,1,Scrum,Santé,314000.0
2,4,0.365,64,88,0,3,0,0,0,0,1,1,0,1.9,249,17,6.8,0,0.0,1,1,Scrum,Santé,337000.0
2,13,0.414,59,81,5,3,0,0,0,0,1,0,2,7.0,103,7,8.3,0,0.0,1,0,Scrum,Industrie,316000.0
3,19,0.734,19,33,3,0,1,0,1,1,0,0,2,8.3,32,2,3.2,50,0.0,0,3,Waterfall,E-commerce,196000.0
0,5,0.552,61,55,5,2,1,0,1,0,1,0,3,5.0,197,14,4.9,39,0.0,0,2,Agile,Santé,156000.0
0,21,0.64,30,76,3,4,1,0,0,0,1,0,2,7.3,42,3,4.9,47,0.0,0,2,Agile,E-commerce,513000.0
2,14,0.517,55,69,13,2,0,0,0,0,1,0,3,6.0,95,6,7.1,0,0.0,1,1,Scrum,Santé,303000.0
1,21,0.547,41,52,7,3,0,1,0,0,0,1,1,0.0,143,10,5.3,36,0.0,0,2,Kanban,IT,170000.0
0,21,0.416,50,57,0,1,0,0,0,0,0,1,3,3.2,376,26,7.6,0,0.0,1,0,Agile,E-commerce,381000.0
1,21,0.603,49,39,26,1,0,0,0,0,0,1,4,1.4,387,27,5.8,0,0.0,0,2,Kanban,Logistique,398000.0
2,3,0.651,81,93,1,1,0,0,0,0,0,0,3,8.3,98,7,10.0,0,0.0,1,0,Scrum,Santé,498000.0
2,17,0.603,51,75,0,3,0,0,0,0,1,0,1,4.2,288,20,7.3,0,0.0,1,1,Scrum,Education,38000.0
2,15,0.331,78,90,2,0,0,0,0,0,0,0,2,6.5,278,19,10.0,0,0.0,1,0,Scrum,Finance,271000.0
0,10,0.67,40,67,5,3,1,1,0,0,0,0,3,5.6,120,8,4.6,42,0.0,0,2,Agile,IT,181000.0
2,4,0.584,86,101,0,1,0,0,1,0,0,0,3,6.0,343,24,9.4,0,0.0,1,0,Scrum,Telecom,367000.0
1,14,0.945,46,73,0,0,1,0,0,0,0,0,3,7.9,64,4,5.7,0,0.0,0,2,Kanban,Finance,139000.0
2,19,0.861,58,56,6,4,1,0,1,1,1,0,3,10.0,317,22,2.7,58,0.0,0,3,Scrum,Industrie,415000.0
2,22,0.85,65,104,8,0,0,0,0,1,0,0,3,7.2,217,15,7.8,0,0.0,1,0,Scrum,Telecom,267000.0
1,15,0.518,73,75,6,2,0,1,0,0,0,0,2,5.2,384,27,7.8,0,0.0,1,0,Kanban,Education,271000.0
2,18,0.715,72,96,0,1,0,0,0,1,1,0,1,8.4,237,16,7.9,0,0.0,1,0,Scrum,Finance,496000.0
0,10,0.397,73,94,4,1,0,1,0,0,0,1,4,2.5,318,22,7.6,0,0.0,1,0,Agile,E-commerce,51000.0
2,13,0.325,90,92,0,0,0,0,0,0,0,0,2,5.9,76,5,10.0,0,0.0,1,0,Scrum,IT,85000.0
3,7,0.573,21,52,19,0,0,0,0,1,0,1,1,1.8,215,15,4.7,40,0.0,0,2,Waterfall,E-commerce,481000.0
0,21,0.529,67,96,17,2,1,1,1,0,0,0,2,7.6,304,21,5.4,31,0.0,0,2,Agile,Santé,435000.0
1,18,0.783,5,48,15,2,0,1,0,1,0,1,3,1.7,51,3,2.5,58,0.0,0,3,Kanban,E-commerce,258000.0
1,24,0.293,53,57,2,5,0,0,0,0,1,0,3,6.0,215,15,6.4,0,0.0,1,1,Kanban,IT,142000.0
1,3,0.693,30,56,15,0,1,0,0,0,0,0,0,5.4,63,4,4.8,37,0.0,0,2,Kanban,E-commerce,431000.0
1,4,0.258,30,62,0,2,0,1,0,0,0,0,1,7.5,168,12,6.3,0,0.0,1,1,Kanban,Logistique,327000.0
2,23,0.458,84,100,6,1,0,0,0,0,0,0,3,6.0,323,23,10.0,0,0.0,1,0,Scrum,Santé,196000.0
2,3,0.635,61,77,1,1,1,0,0,0,0,0,4,6.8,190,13,8.3,0,0.0,1,0,Scrum,IT,329000.0
3,3,0.493,35,60,10,0,0,1,0,1,0,0,3,8.3,55,3,4.2,44,0.0,0,3,Waterfall,IT,463000.0
3,19,0.488,25,47,0,2,0,0,1,1,0,0,3,8.2,45,3,4.8,42,0.0,0,2,Waterfall,Logistique,407000.0
0,19,0.674,10,53,7,1,1,0,0,1,0,0,2,3.1,119,8,3.3,54,0.0,0,3,Agile,IT,522000.0
3,15,0.671,50,62,6,1,0,0,0,0,0,0,3,6.6,47,3,7.7,0,0.0,1,0,Waterfall,Telecom,47000.0
2,17,0.577,42,41,19,0,0,0,0,0,0,0,0,9.6,45,3,6.6,0,0.0,1,1,Scrum,Education,528000.0
2,6,0.371,78,58,11,0,0,0,0,0,0,1,2,5.8,255,18,8.5,0,0.0,1,0,Scrum,IT,135000.0
2,19,0.834,92,96,3,5,0,0,0,1,1,1,2,2.2,66,4,5.3,40,0.0,0,2,Scrum,Industrie,89000.0
1,13,0.769,43,50,7,1,0,0,1,0,0,0,1,5.2,300,21,5.9,0,0.0,0,2,Kanban,Finance,26000.0
3,22,0.624,56,82,6,0,1,0,1,0,0,0,2,9.3,44,3,6.2,0,0.0,1,1,Waterfall,IT,451000.0
2,16,0.372,64,82,14,6,0,1,0,1,1,0,4,5.6,366,26,3.4,48,0.0,0,3,Scrum,Finance,362000.0
3,11,0.687,5,19,13,0,0,0,1,0,0,1,1,1.4,338,24,3.5,54,0.0,0,3,Waterfall,Logistique,535000.0
0,13,0.291,52,37,17,1,0,0,0,0,0,0,1,9.5,279,19,7.3,0,0.0,1,1,Agile,Santé,117000.0
2,8,0.841,99,93,0,2,0,1,0,1,0,0,4,4.5,365,26,7.8,0,0.0,1,0,Scrum,Santé,117000.0
0,10,0.334,54,65,20,1,0,0,0,0,0,0,2,8.7,378,27,8.2,0,0.0,1,0,Agile,Finance,404000.0
1,11,0.286,37,65,19,0,0,0,0,0,0,0,2,9.6,116,8,7.3,0,0.0,1,1,Kanban,IT,280000.0
1,9,0.651,74,85,19,0,0,0,0,0,0,0,3,7.1,108,7,10.0,0,0.0,1,0,Kanban,Santé,227000.0
2,9,0.47,89,89,0,1,0,0,0,1,0,0,1,8.3,398,28,9.6,0,0.0,1,0,Scrum,Telecom,128000.0
3,17,0.692,66,75,6,2,0,0,0,1,1,1,2,3.9,360,25,6.7,0,0.0,1,1,Waterfall,Industrie,523000.0
2,16,0.267,80,90,8,1,0,0,0,0,0,1,0,7.3,62,4,8.4,0,0.0,1,0,Scrum,Industrie,111000.0
1,14,0.369,5,32,15,4,0,1,0,0,0,0,3,6.7,148,10,3.5,49,0.0,0,3,Kanban,Santé,171000.0
0,17,0.782,21,40,21,5,0,1,0,1,1,0,2,8.7,195,13,1.0,68,0.0,0,3,Agile,IT,535000.0
2,21,0.626,67,68,17,4,0,1,0,0,0,0,1,4.8,213,15,5.3,43,0.0,0,2,Scrum,IT,437000.0
2,3,0.712,52,77,6,3,0,1,0,1,0,0,3,6.3,142,10,5.9,0,0.0,0,2,Scrum,Industrie,44000.0
2,5,0.305,81,86,0,6,0,0,0,0,1,0,3,8.2,189,13,8.1,0,0.0,1,0,Scrum,IT,440000.0
2,18,0.751,26,64,6,2,1,0,1,0,1,1,1,4.1,266,19,2.6,54,0.0,0,3,Scrum,Education,177000.0
3,3,0.631,41,52,13,1,0,0,0,1,0,0,3,7.8,188,13,6.3,0,0.0,1,1,Waterfall,Industrie,482000.0
0,12,0.831,18,59,16,3,1,0,0,0,1,0,3,7.0,90,6,2.4,60,0.0,0,3,Agile,IT,557000.0
3,2,0.445,37,48,15,0,0,0,0,1,0,0,1,9.5,386,27,5.6,0,0.0,0,2,Waterfall,Santé,201000.0
1,24,0.528,57,70,0,0,1,0,0,0,0,0,0,8.0,196,14,7.0,0,0.0,1,1,Kanban,E-commerce,261000.0
1,4,0.656,8,18,19,0,0,1,0,0,0,0,2,8.4,348,24,3.9,46,0.0,0,3,Kanban,Logistique,240000.0
2,14,0.476,100,82,0,0,1,0,0,0,0,0,3,7.7,350,25,9.7,0,0.0,1,0,Scrum,Santé,48000.0
3,5,0.516,71,83,0,0,0,0,1,0,0,0,2,7.5,318,22,9.5,0,0.0,1,0,Waterfall,Santé,96000.0
2,19,0.308,55,60,0,0,0,1,0,0,0,0,3,5.7,111,7,7.8,0,0.0,1,0,Scrum,IT,267000.0
2,21,0.88,71,85,9,0,1,0,0,1,0,0,2,6.3,315,22,5.0,34,0.0,0,2,Scrum,Telecom,104000.0
3,21,0.496,61,68,2,2,0,0,0,0,0,0,2,9.4,233,16,8.7,0,0.0,1,0,Waterfall,Santé,482000.0
0,20,0.549,24,70,20,5,0,1,1,1,1,0,0,9.0,197,14,1.3,64,0.0,0,3,Agile,E-commerce,402000.0
2,5,0.495,59,77,16,2,0,1,0,0,1,1,2,1.7,106,7,4.6,39,0.0,0,2,Scrum,Finance,404000.0
2,10,0.788,42,64,0,1,1,0,0,0,0,0,2,8.8,191,13,5.8,0,0.0,0,2,Scrum,IT,119000.0
1,11,0.487,6,73,2,2,0,0,0,0,0,0,2,6.4,286,20,6.0,0,0.0,1,1,Kanban,Finance,47000.0
2,24,0.493,100,111,1,0,0,0,0,0,0,0,3,5.8,136,9,10.0,0,0.0,1,0,Scrum,Education,198000.0
1,4,0.882,69,75,5,3,1,1,0,1,0,0,2,7.6,244,17,3.2,53,0.0,0,3,Kanban,Finance,430000.0
1,11,0.436,46,32,7,0,0,0,0,0,0,0,2,7.4,230,16,7.0,0,0.0,1,1,Kanban,Finance,451000.0
2,20,0.69,62,103,0,2,1,0,0,0,1,0,1,3.7,198,14,7.3,0,0.0,1,1,Scrum,IT,492000.0
2,10,0.579,56,75,0,0,0,0,0,1,0,1,1,2.2,161,11,7.0,0,0.0,1,1,Scrum,IT,59000.0
2,23,0.376,49,71,0,1,0,0,0,0,0,1,2,4.4,171,12,8.0,0,0.0,1,0,Scrum,Education,150000.0
1,10,0.769,43,36,8,0,0,0,0,1,0,1,3,3.0,358,25,5.3,38,0.0,0,2,Kanban,E-commerce,239000.0
2,2,0.632,56,86,0,5,0,0,0,0,1,0,2,7.3,187,13,6.3,0,0.0,1,1,Scrum,Logistique,462000.0
2,13,0.687,75,109,0,2,0,0,0,1,1,0,2,5.4,284,20,7.5,0,0.0,1,0,Scrum,Telecom,391000.0
3,21,0.435,46,55,27,4,0,0,0,1,1,0,4,9.2,310,22,3.8,48,0.0,0,3,Waterfall,Telecom,437000.0
2,16,0.695,66,89,7,1,1,0,0,1,1,0,3,9.0,386,27,5.5,0,0.0,0,2,Scrum,E-commerce,327000.0
2,15,0.753,100,107,0,2,1,0,0,0,0,0,2,8.2,181,12,8.2,0,0.0,1,0,Scrum,Industrie,376000.0
0,4,0.367,74,78,5,6,0,1,0,0,0,0,2,3.9,206,14,6.3,0,0.0,1,1,Agile,IT,442000.0
2,15,0.567,60,77,0,5,0,1,0,1,1,0,3,4.7,140,10,5.6,0,0.0,0,2,Scrum,Logistique,386000.0
2,21,0.289,69,85,9,2,0,1,0,0,0,1,2,1.4,223,15,6.7,0,0.0,1,1,Scrum,Logistique,268000.0
2,15,0.692,61,73,1,1,1,0,0,0,0,0,2,6.1,359,25,6.9,0,0.0,1,1,Scrum,E-commerce,576000.0
3,13,0.448,30,56,15,5,0,1,0,0,0,0,3,6.8,247,17,5.3,39,0.0,0,2,Waterfall,Logistique,474000.0
2,4,0.532,53,67,1,1,0,0,0,0,1,0,3,7.5,349,24,9.3,0,0.0,1,0,Scrum,Santé,93000.0
2,21,0.663,19,25,12,2,0,0,1,0,0,0,1,7.2,383,27,4.8,29,0.0,0,2,Scrum,Telecom,183000.0
2,13,0.51,37,60,35,0,0,0,0,0,0,0,3,7.0,152,10,6.1,0,0.0,1,1,Scrum,Industrie,94000.0
3,7,0.537,49,52,10,0,0,0,1,0,0,0,1,7.3,85,6,7.1,0,0.0,1,1,Waterfall,Logistique,569000.0
1,14,0.474,20,62,14,4,0,0,1,0,0,1,3,2.0,377,26,3.9,53,0.0,0,3,Kanban,Industrie,581000.0
3,17,1.043,59,66,0,0,1,0,0,1,0,0,4,5.8,143,10,5.5,0,4.3,0,2,Waterfall,Logistique,85000.0
3,14,0.626,5,44,8,2,0,0,0,0,1,0,3,9.3,316,22,6.4,0,0.0,1,1,Waterfall,Telecom,206000.0
2,2,0.462,100,133,0,0,0,0,0,0,1,1,2,1.4,326,23,9.5,0,0.0,1,0,Scrum,Santé,324000.0
1,18,0.537,70,58,11,3,0,1,0,0,0,1,1,4.5,160,11,5.4,36,0.0,0,2,Kanban,Industrie,407000.0
1,20,0.311,46,37,14,0,0,0,1,0,0,1,1,0.0,103,7,5.2,32,0.0,0,2,Kanban,Education,128000.0
3,20,0.626,29,49,8,5,0,1,0,0,0,1,2,2.9,331,23,4.3,42,0.0,0,3,Waterfall,Logistique,341000.0
1,17,0.406,26,19,8,0,0,0,0,0,0,1,3,6.6,31,2,6.2,0,0.0,1,1,Kanban,E-commerce,542000.0
1,2,0.428,48,82,12,1,0,0,0,1,0,0,2,6.2,40,2,6.3,0,0.0,1,1,Kanban,Education,538000.0
2,4,0.833,30,56,5,3,1,1,0,0,0,0,2,5.4,212,15,3.3,45,0.0,0,3,Scrum,Industrie,583000.0
2,5,0.713,58,97,0,0,0,0,0,1,0,1,1,1.9,137,9,7.3,0,0.0,1,1,Scrum,E-commerce,323000.0
2,2,0.29,58,66,8,3,0,1,0,0,0,0,4,7.6,370,26,7.5,0,0.0,1,0,Scrum,Santé,214000.0
2,17,0.685,80,87,2,0,0,0,0,1,0,0,1,7.0,84,6,8.7,0,0.0,1,0,Scrum,Industrie,341000.0
2,14,0.284,68,79,12,1,0,1,0,0,0,0,2,7.3,277,19,7.0,0,0.0,1,1,Scrum,E-commerce,412000.0
0,8,0.467,45,75,22,3,0,0,0,0,1,0,2,9.4,190,13,7.0,0,0.0,1,1,Agile,Industrie,206000.0
1,3,0.921,57,81,1,4,1,0,0,1,1,0,3,6.9,156,11,4.0,41,0.0,0,3,Kanban,E-commerce,167000.0
1,5,0.589,40,66,0,2,1,0,0,1,0,0,2,6.1,252,18,5.0,38,0.0,0,2,Kanban,Logistique,516000.0
0,15,0.48,86,100,0,5,0,0,0,0,1,1,3,1.6,109,7,7.8,0,0.0,1,0,Agile,Logistique,428000.0
2,6,1.085,70,69,11,1,1,0,0,1,0,0,3,4.2,303,21,4.4,39,8.5,0,3,Scrum,Education,439000.0
1,18,0.695,60,61,8,0,0,0,0,1,0,0,3,10.0,376,26,7.6,0,0.0,1,0,Kanban,Industrie,557000.0
2,24,0.471,53,80,0,1,0,0,0,0,1,0,1,7.3,167,11,8.4,0,0.0,1,0,Scrum,E-commerce,341000.0
3,10,0.562,45,64,19,0,0,0,0,0,0,1,2,4.0,36,2,7.1,0,0.0,1,1,Waterfall,E-commerce,391000.0
1,14,0.552,55,62,24,0,1,0,0,0,0,0,3,7.8,160,11,5.8,0,0.0,0,2,Kanban,E-commerce,171000.0
1,17,0.427,46,66,8,2,0,1,1,0,0,0,2,5.9,113,8,5.7,0,0.0,0,2,Kanban,E-commerce,216000.0
2,7,0.706,61,48,6,7,0,1,0,1,1,0,1,6.7,394,28,2.8,55,0.0,0,3,Scrum,Education,555000.0
2,7,0.726,54,89,13,0,1,0,1,0,0,0,1,5.6,119,8,5.8,0,0.0,0,2,Scrum,Education,345000.0
1,11,0.517,37,70,8,3,1,0,0,0,0,0,3,5.6,374,26,5.3,39,0.0,0,2,Kanban,IT,453000.0
0,11,0.465,33,60,24,1,0,0,0,0,0,0,2,7.3,357,25,6.2,0,0.0,1,1,Agile,E-commerce,281000.0
2,6,0.457,63,88,25,0,0,0,0,1,0,0,2,5.9,362,25,7.9,0,0.0,1,0,Scrum,Education,592000.0
2,19,0.419,63,99,0,5,0,0,0,0,1,0,2,7.7,196,14,6.7,0,0.0,1,1,Scrum,Education,238000.0
2,4,0.61,49,63,20,1,0,0,0,1,0,1,2,1.1,140,10,5.6,0,0.0,0,2,Scrum,E-commerce,92000.0
1,17,0.413,54,68,17,3,0,0,0,1,0,0,2,8.0,213,15,6.1,0,0.0,1,1,Kanban,Education,23000.0
2,18,0.605,57,80,4,0,0,0,0,0,0,0,3,10.0,60,4,9.5,0,0.0,1,0,Scrum,Santé,315000.0
1,11,0.727,65,66,0,3,1,0,1,0,1,0,1,5.0,368,26,4.4,38,0.0,0,3,Kanban,Santé,205000.0
1,23,0.907,42,80,23,2,1,0,1,1,0,0,2,8.1,80,5,2.9,49,0.0,0,3,Kanban,Industrie,62000.0
2,7,0.54,62,69,9,0,0,0,0,1,0,0,2,6.8,284,20,7.6,0,0.0,1,0,Scrum,Education,538000.0
1,11,0.611,71,74,0,1,0,0,0,0,0,0,4,5.6,156,11,10.0,0,0.0,1,0,Kanban,IT,173000.0
0,17,0.494,100,108,0,6,0,1,0,0,1,0,0,5.1,372,26,6.8,0,0.0,1,1,Agile,Santé,167000.0
1,13,0.595,44,83,1,2,0,0,0,0,0,0,2,6.4,229,16,9.0,0,0.0,1,0,Kanban,Santé,411000.0
2,20,0.273,71,80,5,1,0,0,0,0,0,0,2,8.1,250,17,10.0,0,0.0,1,0,Scrum,Finance,159000.0
1,13,0.361,15,57,8,4,0,0,0,0,0,0,2,4.2,121,8,6.5,0,0.0,1,1,Kanban,Santé,397000.0
3,10,0.568,28,39,22,0,0,0,0,0,0,0,3,8.6,383,27,6.3,0,0.0,1,1,Waterfall,Education,161000.0
2,7,0.675,42,64,8,3,0,1,0,0,0,0,1,9.3,373,26,6.6,0,0.0,1,1,Scrum,Industrie,94000.0
3,17,0.478,50,49,0,1,0,0,0,0,0,1,2,1.5,71,5,7.5,0,0.0,1,0,Waterfall,Telecom,475000.0
1,6,0.787,45,49,10,0,1,0,0,0,0,1,2,4.0,371,26,5.3,35,0.0,0,2,Kanban,E-commerce,478000.0
2,20,0.596,96,91,17,4,0,0,0,0,1,1,1,4.3,359,25,6.4,0,0.0,1,1,Scrum,Logistique,121000.0
0,9,0.308,28,58,4,1,0,0,0,0,0,1,2,5.2,370,26,6.4,0,0.0,1,1,Agile,IT,131000.0
1,17,0.648,61,87,7,1,0,0,0,0,0,0,2,7.6,64,4,8.8,0,0.0,1,0,Kanban,Logistique,54000.0
0,11,0.593,36,83,0,3,0,1,0,0,0,0,2,8.7,63,4,7.1,0,0.0,1,1,Agile,E-commerce,558000.0
1,4,0.59,77,84,10,4,0,0,0,0,1,0,2,6.3,143,10,7.3,0,0.0,1,1,Kanban,Finance,430000.0
2,13,0.473,49,94,0,1,0,0,0,1,0,0,0,7.6,137,9,7.2,0,0.0,1,1,Scrum,Telecom,28000.0
2,10,0.654,48,94,8,1,0,0,1,1,0,0,3,6.6,48,3,6.9,0,0.0,1,1,Scrum,Logistique,30000.0
3,11,0.674,27,41,22,1,0,0,0,0,0,0,4,6.7,157,11,6.7,0,0.0,1,1,Waterfall,Education,167000.0
2,13,0.91,55,85,15,3,1,0,1,0,1,0,2,6.7,337,24,4.0,44,0.0,0,3,Scrum,Finance,50000.0
1,12,0.686,59,74,17,0,1,0,0,0,0,1,2,1.2,202,14,5.3,35,0.0,0,2,Kanban,IT,111000.0
2,17,0.546,93,104,8,6,0,0,0,0,1,0,2,5.1,163,11,7.5,0,0.0,1,0,Scrum,Logistique,152000.0
1,9,0.289,40,70,0,1,0,0,0,0,0,0,4,8.7,106,7,9.2,0,0.0,1,0,Kanban,Education,214000.0
3,9,0.354,46,49,0,1,0,0,0,0,0,1,2,1.0,333,23,7.0,0,0.0,1,1,Waterfall,Telecom,278000.0
2,9,0.55,70,65,0,0,0,0,0,0,0,0,1,9.2,237,16,9.0,0,0.0,1,0,Scrum,Industrie,349000.0
3,22,0.44,16,27,22,0,0,0,0,1,0,0,1,4.7,377,26,5.0,37,0.0,0,2,Waterfall,Education,46000.0
0,9,0.345,53,76,0,0,0,0,0,0,0,1,3,2.8,299,21,8.5,0,0.0,1,0,Agile,Education,173000.0
3,23,0.815,23,38,20,0,0,0,1,1,0,1,1,0.0,38,2,3.2,55,0.0,0,3,Waterfall,Education,302000.0
0,7,0.963,58,66,19,0,1,0,0,0,0,0,2,4.9,89,6,4.8,43,0.0,0,2,Agile,Telecom,15000.0
2,5,0.432,25,34,24,1,0,0,1,0,0,0,3,8.8,178,12,5.4,38,0.0,0,2,Scrum,IT,244000.0
